Time (UTC+05:00),Clicks,Impressions,CTR,Position
2026-06-20T08:00:00,75,542,13.84%,4
2026-06-20T09:00:00,123,837,14.7%,4.2
2026-06-20T10:00:00,133,821,16.2%,3.9
2026-06-20T11:00:00,110,702,15.67%,4
2026-06-20T12:00:00,91,603,15.09%,3.9
2026-06-20T13:00:00,95,639,14.87%,3.8
2026-06-20T14:00:00,116,676,17.16%,3.7
2026-06-20T15:00:00,122,662,18.43%,3.8
2026-06-20T16:00:00,106,591,17.94%,3.7
2026-06-20T17:00:00,84,589,14.26%,4
2026-06-20T18:00:00,87,583,14.92%,4.1
2026-06-20T19:00:00,88,491,17.92%,3.8
2026-06-20T20:00:00,92,467,19.7%,3.9
2026-06-20T21:00:00,105,565,18.58%,3.9
2026-06-20T22:00:00,100,521,19.19%,3.8
2026-06-20T23:00:00,65,345,18.84%,3.8
2026-06-21T00:00:00,21,132,15.91%,4.1
2026-06-21T01:00:00,8,33,24.24%,4.7
2026-06-21T02:00:00,1,19,5.26%,6.8
2026-06-21T03:00:00,3,16,18.75%,3.2
2026-06-21T04:00:00,0,4,0%,4.2
2026-06-21T05:00:00,1,8,12.5%,6.2
2026-06-21T06:00:00,0,7,0%,5.1
2026-06-21T07:00:00,1,2,50%,2.5
