Country,Clicks,Impressions,CTR,Position
Uzbekistan,1595,9541,16.72%,3.85
Russia,14,156,8.97%,6.3
Kazakhstan,4,15,26.67%,4.13
Turkey,4,11,36.36%,2
United Kingdom,3,3,100%,2
United States,2,48,4.17%,6.33
Kyrgyzstan,2,11,18.18%,4.09
Tajikistan,1,7,14.29%,5.14
Poland,1,6,16.67%,5
Japan,1,4,25%,3.25
Germany,0,7,0%,4.29
Netherlands,0,6,0%,5.5
Canada,0,5,0%,7
France,0,3,0%,5.33
Spain,0,3,0%,6.33
Armenia,0,3,0%,14.33
Georgia,0,2,0%,4.5
India,0,2,0%,4.5
Brazil,0,2,0%,5
Lithuania,0,2,0%,5
South Korea,0,2,0%,7.5
Argentina,0,2,0%,8.5
Indonesia,0,1,0%,2
Israel,0,1,0%,2
Romania,0,1,0%,2
Mexico,0,1,0%,3
Malaysia,0,1,0%,3
Saudi Arabia,0,1,0%,5
Finland,0,1,0%,7
Bulgaria,0,1,0%,9
Mongolia,0,1,0%,9
Thailand,0,1,0%,9
Tunisia,0,1,0%,9
Australia,0,1,0%,10
Ukraine,0,1,0%,17
Macedonia,0,1,0%,27
